Name,TID,TID_Description,PlanetSize,AppearanceModels,YSCommonVariations,RedStarDisplayLevel,MaxUpgradeLevel,CreditIncomeModifier,FuelIncomeModifier,CreditStorageModifier,FuelStorageModifier,CreditShipmentModifier,FuelShipmentModifier,ConceptImage,MaxHealth,MaxShipments,ShipmentsPerHour,RelicHydroStages,RelicHydroAmounts
terran_lv2,TID_PLANET_TERRAN_2,TID_PLANET_TERRAN_DESCR,210,terran05!terran06!terran07!terran08!terran13_P!terran14_P!terran15_P,4,,35,100,100,100,100,120,0,portrait_Planet,,48,200,,
terran_lv3,TID_PLANET_TERRAN_3,TID_PLANET_TERRAN_DESCR,290,terran09!terran10!terran11!terran12!terran13_P!terran14_P!terran15_P,4,,70,100,100,100,100,125,0,portrait_Planet,,72,300,,
gas_lv1,TID_PLANET_GAS_1,TID_PLANET_GAS_DESCR,200,gas01!gas05!gas06!gas07!gas09!gas13!gas14_P!gas15_P!gas16_P,6,,20,100,100,100,100,120,0,portrait_Planet,,48,200,,
gas_lv2,TID_PLANET_GAS_2,TID_PLANET_GAS_DESCR,300,gas02!gas03!gas04!gas08!gas10!gas11!gas12!gas14_P!gas15_P!gas16_P,7,,70,100,100,100,100,125,0,portrait_Planet,,72,300,,
ice,TID_PLANET_ICE,TID_PLANET_ICE_DESCR,200,ice01!ice02!ice03!ice04!ice13_P!ice14_P!ice15_P,4,,70,100,100,100,100,140,0,portrait_Planet,,96,400,,
destroyed01,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed02,,1,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
destroyed02,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed03,,2,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
destroyed03,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed06,,3,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
destroyed04,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed07,,4,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
destroyed05,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed13,,5,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
ice_variation1,TID_PLANET_ICE,TID_PLANET_ICE_DESCR,210,ice05!ice06!ice07!ice08!ice13_P!ice14_P!ice15_P,4,,70,100,100,100,100,140,0,portrait_Planet,,72,300,,
ice_variation2,TID_PLANET_ICE,TID_PLANET_ICE_DESCR,275,ice09!ice10!ice11!ice12!ice13_P!ice14_P!ice15_P,4,,70,100,100,100,100,140,0,portrait_Planet,,96,400,,
destroyed06,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed14,,6,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
whitestar1,TID_PLANET_DESTROYED,TID_WHITE_STAR_PLANET_DESCR,100,destroyed20!destroyed21!destroyed22!destroyed23,,10,0,0,0,0,0,0,0,portrait_PlanetWhiteStar,,12,0,3!10,100!300!500
destroyed07,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed15,,7,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
whitestar2,TID_PLANET_DESTROYED,TID_WHITE_STAR_PLANET_DESCR,100,destroyed16!destroyed17!destroyed18!destroyed19,,5,0,0,0,0,0,0,0,portrait_PlanetWhiteStar,,12,0,3!10,100!600!1200
destroyed08,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed08,,8,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
destroyed09,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed09,,9,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
destroyed10,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed10,,10,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
whitestar_l1,TID_PLANET_DESTROYED,TID_WHITE_STAR_PLANET_DESCR,100,desert05!desert06!desert07!desert08,,1,0,0,0,0,0,0,0,portrait_PlanetWhiteStar,,12,0,3!10,100!800!1500
destroyed11,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed24,,11,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
ds1,TID_PLANET_DS,TID_PLANET_DS,100,destroyed14!fire!ice01,,,,,,,,,,portrait_DyingPlanet,1000,100,,,
ds2,TID_PLANET_DS,TID_PLANET_DS,100,destroyed20!fire04!ice02,,,,,,,,,,portrait_DyingPlanet,1000,100,,,
ds3,TID_PLANET_DS,TID_PLANET_DS,100,destroyed15!fire05!ice03,,,,,,,,,,portrait_DyingPlanet,1000,100,,,
ds4,TID_PLANET_DS,TID_PLANET_DS,100,destroyed16!fire06!ice04,,,,,,,,,,portrait_DyingPlanet,1000,100,,,
ds5,TID_PLANET_DS,TID_PLANET_DS,100,destroyed08!fire07!ice05,,,,,,,,,,portrait_DyingPlanet,1000,100,,,
destroyed12,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed25,,12,0,0,0,0,0,0,0,portrait_DyingPlanet,1000,12,100,,
